Client,Code,Updated At,Status
The Clinic Oregon,AppointmentsResourcesPivot,2025-06-05 08:28:09.217,done
The Urban You,appointmentsDetailsAppointmentsProvidersPivot,2025-06-05 00:09:24.359,done
The Aesthetic Lounge and Spa,appointmentsDetailsAppointmentsProvidersPivot,2025-06-05 00:09:12.939,done
Skincredible,appointmentsDetailsAppointmentsProvidersPivot,2025-06-05 00:09:04.966,done
Sarasota,boulevard_appointments,2025-05-27 05:24:25.603,
Reston Dermatology,appointmentsByDateResourcesPivot,2025-06-05 06:47:26.391,done
Renew You Medical,AppointmentsProvidersPivot,2025-06-05 00:09:11.955,done
Renew Beauty Medspa Zenoti,appointmentsDetailsAppointmentResources,2025-06-05 00:09:23.922,done
Piedmont Plastic Surgery,AppointmentsResourcesPivot,2025-06-05 09:52:47.831,done
Olansky Dermatology,AppointmentsResourcesPivot,2025-06-05 09:07:35.221,done
Meridian Medical,daysmart_appointments_charges,2025-05-30 06:10:49.605,
Lockhart Matter Dermatology,AppointmentsResourcesPivot,2025-06-05 08:36:15.558,done
Light_Touch_Orlando,patient_now_appointments,2025-06-04 13:17:35.670,
Laser Lounge Spa,patient_now_appointments,2025-05-29 14:01:27.515,
HKB,appointmentsByDateResourcesPivot,2025-06-05 14:22:39.419,done
Gardens_Dermatology,AppointmentsResourcesPivot,2025-06-05 10:38:15.218,done
Fort Wayne Dermatology,AppointmentsResourcesPivot,2025-06-05 00:09:14.343,done
DrNowak,appointmentsByDateResourcesPivot,2025-06-05 09:48:09.625,done
Cynthia_Rogers,AppointmentsResourcesPivot,2025-06-05 00:09:11.484,done
Culturamed,appointmentsByDateResourcesPivot,2025-06-05 06:48:13.229,done
Contor,appointmentsDetailsAppointmentsProvidersPivot,2025-06-05 00:09:20.526,done
CAPS,appointmentsByDateResourcesPivot,2025-06-05 08:40:57.130,done
Begin Anew Med Spa,patient_now_appointments,2025-05-30 17:21:18.663,
Bare Dermatology,AppointmentsResourcesPivot,2025-06-05 08:43:20.289,done
Athena Capital Parter,appointmentsDetailsAppointmentsProvidersPivot,2025-06-05 03:38:31.813,done
Allure Medical,appointmentsByDateResourcesPivot,2025-06-05 00:09:19.383,done
Alexis Lauren Med Spa,appointmentsDetailsAppointmentsProvidersPivot,2025-06-05 00:09:09.286,done
About You Wellness & Aesthetics,patient_now_appointments,2025-05-30 17:17:51.376,
MD Aesthetics,ERROR,ERROR,
Aging Backwards,ERROR,ERROR,
Bare MedSpa,ERROR,ERROR,
Upkeepmedspa,ERROR,ERROR,
Avemedspa,ERROR,ERROR,
5th Avenue Meevo,ERROR,ERROR,
My Face Lady,ERROR,ERROR,
Alex lauren med spa,appointmentsDetailsAppointmentsProvidersPivot,2025-06-05 00:09:09.286,done
