Client,Code,Updated At,Status
The Clinic Oregon,charges,2025-06-05 08:28:11.659,done
The Urban You,ChargesCash,2025-06-05 00:09:25.419,done
The Aesthetic Lounge and Spa,boulevard_charges,2025-06-05 07:30:23.619,
Skincredible,ChargesCash,2025-06-05 00:09:05.176,done
Sarasota,boulevard_charges,2025-05-27 05:24:10.517,
Reston Dermatology,charges,2025-06-05 06:47:26.871,done
Renew You Medical,charges,2025-06-05 00:09:12.632,done
Renew Beauty Medspa Zenoti,salesTipsChargeCodes,2025-06-05 00:09:23.756,done
Piedmont Plastic Surgery,charges,2025-06-05 09:52:56.293,done
Olansky Dermatology,charges,2025-06-05 09:07:44.849,done
Meridian Medical,daysmart_appointments_charges,2025-05-30 06:10:49.605,
Lockhart Matter Dermatology,charges,2025-06-05 08:36:17.395,done
Light_Touch_Orlando,patient_now_charges,2025-06-04 13:11:56.480,
Laser Lounge Spa,patient_now_charges,2025-05-29 13:49:24.231,
HKB,charges,2025-06-05 14:22:39.779,done
Gardens_Dermatology,charges,2025-06-05 10:38:18.197,done
Fort Wayne Dermatology,charges,2025-06-05 00:09:15.338,done
DrNowak,charges,2025-06-05 09:48:10.173,done
Cynthia_Rogers,charges,2025-06-05 00:09:12.980,done
Culturamed,charges,2025-06-05 06:48:13.537,done
Contor,ChargesCash,2025-06-05 00:09:21.336,done
CAPS,charges,2025-06-05 08:40:57.841,done
Begin Anew Med Spa,patient_now_charges,2025-05-30 17:12:42.316,
Bare Dermatology,charges,2025-06-05 08:44:03.313,done
Athena Capital Parter,ChargesCash,2025-06-05 03:38:32.026,done
Allure Medical,charges,2025-06-05 00:09:20.008,done
Alexis Lauren Med Spa,ChargesCash,2025-06-05 00:09:09.600,done
About You Wellness & Aesthetics,patient_now_charges,2025-05-30 17:15:42.962,
MD Aesthetics,ERROR,ERROR,
Aging Backwards,ERROR,ERROR,
Bare MedSpa,ERROR,ERROR,
Upkeepmedspa,ERROR,ERROR,
Avemedspa,ERROR,ERROR,
5th Avenue Meevo,ERROR,ERROR,
My Face Lady,ERROR,ERROR,
Alex lauren med spa,ChargesCash,2025-06-05 00:09:09.600,done
